license_nbr,license_type,lic_expir_dd,license_status,license_creation_date,industry,business_name,address_building,address_street_name,address_city,address_state,address_zip,contact_phone,address_borough,detail,community_board,council_district,bin,bbl,nta,census_tract,longitude,latitude,location
1237141-DCA,Business,2020-05-27,Inactive,2006-08-25,Sidewalk Cafe,STARBUCKS CORPORATION,7419,3RD AVE,BROOKLYN,NY,11209,2126131280,Brooklyn,3.0,310.0,43.0,3148247.0,3059290001.0,BK31,66.0,-74.02757564142522,40.63196099847803,"
,  
(40.63196099847803, -74.02757564142522)"
2108946-DCA,Individual,2024-04-30,Active,2022-09-20,Pedicab Driver,"BERDYEV, OIBEK",No Building Info,,BROOKLYN,NY,11230,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2107654-DCA,Individual,2023-09-30,Active,2022-07-21,General Vendor,"SIEH, CHRISTINA",No Building Info,,BRONX,NY,10455,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1387237-DCA,Business,2024-06-30,Active,2011-04-07,Electronic & Appliance Service,"GM INTERNET CAFE, INC.",231,BRIGHTON BEACH AVE,BROOKLYN,NY,11235,718-891-4077,Brooklyn,3.0,313.0,48.0,3244608.0,3086700041.0,,,-73.9660215747078,40.576632425316525,"
,  
(40.576632425316525, -73.9660215747078)"
1178405-DCA,Business,2023-12-31,Active,2004-08-27,Tobacco Retail Dealer,OLSEN NEWS CORP.,No Building Info,BROADWAY,NEW YORK,NY,10018,646-258-4324,Manhattan,1.0,105.0,3.0,,,,,-73.98686541972873,40.75431708865135,"
,  
(40.75431708865135, -73.98686541972873)"
2031294-DCA,Business,2024-06-30,Active,2015-12-11,Electronic & Appliance Service,"JUAN, CARLOS  FELIZ",27A,W 125TH ST,NEW YORK,NY,10027,6463186534,Manhattan,1.0,110.0,9.0,1053503.0,1017230023.0,,,-73.94317585886598,40.80681061648388,"
,  
(40.80681061648388, -73.94317585886598)"
1323351-DCA,Business,2025-03-31,Active,2009-06-22,Garage,NEW WORLD GARAGE INC.,4017,MAIN ST,FLUSHING,NY,11354,7183531655,Queens,4.0,407.0,20.0,4113546.0,4050190005.0,QN22,853.0,-73.82989864889562,40.7591026030726,"
,  
(40.7591026030726, -73.82989864889562)"
2041190-DCA,Individual,2023-07-31,Active,2016-07-26,Ticket Seller,"TOUGNON, KOKOU",No Building Info,,BRONX,NY,10456,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2042978-DCA,Individual,,Inactive,2016-08-26,Home Improvement Salesperson,"MATUTE, BLANCA",No Building Info,,EAST ELMHURST,NY,11369,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2083532-DCA,Business,2024-06-30,Active,2019-03-21,Electronic & Appliance Service,YAEL A ROSARIO AND MELVIN A GRULLART,1292A,WESTCHESTER AVE,BRONX,NY,10459,6466259230,Bronx,2.0,202.0,17.0,2097226.0,2027570093.0,,,-73.88674304216549,40.827318719294674,"
,  
(40.827318719294674, -73.88674304216549)"
2078903-DCA,Business,2024-06-30,Active,2018-10-09,Electronic & Appliance Service,MOM ELECTRONICES INC,9215,GUY R BREWER BLVD,JAMAICA,NY,11433,3474761983,Queens,4.0,412.0,27.0,4216196.0,4101510001.0,,,-73.79671652193313,40.70421122719191,"
,  
(40.70421122719191, -73.79671652193313)"
2052462-DCA,Business,2024-06-30,Active,2017-05-04,Electronic & Appliance Service,WARRANTY LOGISTICS LLC,494,GATEWAY DR,BROOKLYN,NY,11239,6154453228,Brooklyn,3.0,305.0,42.0,3397155.0,3044520515.0,,,-73.87682966513736,40.652684611812326,"
,  
(40.652684611812326, -73.87682966513736)"
2010802-DCA,Business,2020-05-25,Inactive,2014-07-17,Sidewalk Cafe,"ASTORIA BRICK, LLC",3095,33RD ST,ASTORIA,NY,11102,7182670142,Queens,4.0,401.0,22.0,4009053.0,4006250108.0,QN70,63.0,-73.92149507584305,40.76403218686632,"
,  
(40.764032186866324, -73.92149507584305)"
2107525-DCA,Individual,2023-09-30,Active,2022-07-15,General Vendor,"HUANG, XIAO",No Building Info,,BROOKLYN,NY,11214,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1323280-DCA,Business,2020-05-27,Inactive,2009-06-25,Sidewalk Cafe,"SYLVIA WOODS, INC.",328,LENOX AVE,NEW YORK,NY,10027,2129660660,Manhattan,1.0,110.0,9.0,1077374.0,1017240004.0,MN03,208.0,-73.94477087182707,40.808735443222886,"
,  
(40.808735443222886, -73.94477087182707)"
2040296-DCA,Individual,2023-07-31,Active,2016-07-13,Ticket Seller,"JABATEH, ABDULLAH",No Building Info,,BRONX,NY,10452,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2052350-DCA,Business,2018-12-31,Inactive,2017-05-03,Electronics Store,"SPECTRUM WIRELESS, INC.",80,W KINGSBRIDGE RD,BRONX,NY,10468,3475900800,Bronx,2.0,207.0,14.0,2014677.0,2032150026.0,BX30,265.0,-73.90044164590107,40.86812319354234,"
,  
(40.86812319354234, -73.90044164590107)"
2107322-DCA,Business,2024-06-30,Active,2022-07-07,Electronic & Appliance Service,TOP NOTCH SOUND & SECURITY LLC,2514,HOFFMAN ST,BRONX,NY,10458,9143098741,Bronx,2.0,206.0,15.0,2094652.0,2030670048.0,,,-73.88625614034004,40.858498143050895,"
,  
(40.858498143050895, -73.88625614034004)"
2081476-DCA,Business,2024-06-30,Active,2019-01-17,Electronic & Appliance Service,141 BROADWAY WIRELESS INC,3469,BROADWAY,NEW YORK,NY,10031,No Contact Available,Manhattan,1.0,109.0,7.0,1062330.0,1020880091.0,,,-73.952107268642,40.824177774721214,"
,  
(40.824177774721214, -73.952107268642)"
2107550-DCA,Business,2024-03-31,Active,2022-07-18,Stoop Line Stand,MARGARITAS MEXICAN DELI CORP.,8717,ROOSEVELT AVE,JACKSON HEIGHTS,NY,11372,No Contact Available,Queens,4.0,403.0,21.0,4036272.0,4014750027.0,,,-73.87906039716577,40.7481555163397,"
,  
(40.7481555163397, -73.87906039716577)"
1141536-DCA,Business,2006-12-31,Inactive,2005-03-02,Electronics Store,CYBERXPRESS CORP.,120,UNION ST,BROOKLYN,NY,11231,7184888818,Brooklyn,3.0,306.0,39.0,3338859.0,3003420501.0,BK33,51.0,-74.00255997633951,40.68425508536598,"
,  
(40.68425508536598, -74.00255997633951)"
1039213-DCA,Business,2005-06-30,Inactive,2000-09-18,Home Improvement Contractor,MARRERO CONSTRUCTION CORP.,3712,LYME AVE,BROOKLYN,NY,11224,7183822111,Brooklyn,3.0,313.0,47.0,3188591.0,3070000031.0,BK21,336.0,-74.00390222456761,40.57751297611882,"
,  
(40.57751297611882, -74.00390222456761)"
1249186-DCA,Business,2008-12-31,Inactive,2007-03-01,Tobacco Retail Dealer,"ALI, SALEM M.",479,NOSTRAND AVE,BROOKLYN,NY,11216,7187839431,Brooklyn,3.0,303.0,36.0,3338725.0,3018490001.0,BK75,249.0,-73.94967911066585,40.68096959707236,"
,  
(40.680969597072355, -73.94967911066585)"
1072377-DCA,Business,2024-04-30,Inactive,2012-04-20,Tow Truck Company,DOLPHIN TRANSMISSIONS INC,8501,FLATLANDS AVE,BROOKLYN,NY,11236,7182090800,Brooklyn,3.0,318.0,46.0,3224527.0,3080060007.0,,,-73.90951897350581,40.63795077081008,"
,  
(40.63795077081008, -73.90951897350581)"
1144349-DCA,Business,2023-07-31,Inactive,2003-07-11,Secondhand Dealer - Auto,"PARTS ARE US, INC.",1937,FLUSHING AVE,RIDGEWOOD,NY,11385,7184973900,Queens,4.0,405.0,34.0,4080421.0,4033750033.0,,,-73.91703173631379,40.7130562459018,"
,  
(40.7130562459018, -73.91703173631379)"
2107660-DCA,Individual,2023-07-31,Active,2022-07-21,Ticket Seller,"HASSAN, AYINKE",No Building Info,,FAR ROCKAWAY,NY,11691,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2107521-DCA,Business,2023-07-31,Active,2022-07-15,Secondhand Dealer - General,ECOATM LLC,359,E 204TH ST,BRONX,NY,10467,8587667242,Bronx,2.0,207.0,11.0,2018429.0,2033490046.0,,,-73.87757336531755,40.871932794128256,"
,  
(40.871932794128256, -73.87757336531755)"
2107499-DCA,Individual,2024-10-31,Active,2022-07-15,Tow Truck Driver,"SANOGO, MOUSSA",No Building Info,,BROOKLYN,NY,11208,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2078503-DCA,Business,2024-06-30,Active,2018-09-25,Electronic & Appliance Service,MOBITEL NEW YORK INC,175,DYCKMAN ST,NEW YORK,NY,10040,9175788401,Manhattan,1.0,112.0,10.0,1064818.0,1022240053.0,,,-73.92627946650808,40.86400907924597,"
,  
(40.864009079245974, -73.92627946650808)"
2090354-DCA,Business,2024-06-30,Active,2019-09-10,Electronic & Appliance Service,YUKI WIRELESS INC,5314,8TH AVE,BROOKLYN,NY,11220,6465209133,Brooklyn,3.0,307.0,38.0,3014443.0,3008180045.0,,,-74.0056137411089,40.63930098457214,"
,  
(40.63930098457214, -74.0056137411089)"
0853796-DCA,Business,2024-09-30,Active,2002-09-18,Newsstand,"PATEL, DAKSHA",No Building Info,BROADWAY,NEW YORK,NY,10001,2129999999,Manhattan,1.0,,3.0,,,,,-73.98830675798419,40.74753497330908,"
,  
(40.74753497330908, -73.98830675798419)"
2016212-1-DCA,Business,2023-12-31,Active,2014-12-05,Tobacco Retail Dealer,ASTORIA CENTER INC,4402,ASTORIA BLVD,ASTORIA,NY,11103,347-668-4569,Queens,4.0,401.0,22.0,4012858.0,4007170029.0,QN70,141.0,-73.9069268281986,40.76820158202948,"
,  
(40.76820158202948, -73.9069268281986)"
2095824-1-DCA,Business,2023-11-30,Active,2020-06-16,Electronic Cigarette Dealer,VAPE MADE EASIER CORP,1702,SHEEPSHEAD BAY RD,BROOKLYN,NY,11235,7186191099,Brooklyn,3.0,315.0,48.0,3255048.0,3087700009.0,,,-73.95178861038603,40.585762037412096,"
,  
(40.585762037412096, -73.95178861038603)"
1385514-DCA,Business,2022-12-31,Inactive,2011-03-22,Tobacco Retail Dealer,PRIMAVERA DELI GROCERY CORP,79,E BURNSIDE AVE,BRONX,NY,10453,718-329-3180,Bronx,2.0,205.0,14.0,2013956.0,2031780060.0,BX41,241.0,-73.90597273624344,40.85330096084688,"
,  
(40.85330096084688, -73.90597273624344)"
2105480-DCA,Individual,2024-03-31,Active,2022-04-22,Sightseeing Guide,"PRUITT, BLAKE",No Building Info,,NEW YORK,NY,10038,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1070856-DCA,Business,2004-12-31,Inactive,2001-01-05,Tobacco Retail Dealer,"DOOKHAN, HAROLD",8619,SUTTER AVE,OZONE PARK,NY,11417,7183238139,Queens,4.0,410.0,32.0,4190296.0,4091470036.0,QN56,54.0,-73.8503934722929,40.675896079942085,"
,  
(40.675896079942085, -73.8503934722929)"
1088471-DCA,Business,2004-03-31,Inactive,2001-07-25,Stoop Line Stand,"ALMARDAHI, NABIL H",2224,AVENUE U,BROOKLYN,NY,11229,7183683373,Brooklyn,3.0,315.0,48.0,3199891.0,3073550010.0,BK44,576.0,-73.94914985006353,40.59962213875259,"
,  
(40.59962213875259, -73.94914985006353)"
2107493-DCA,Business,2023-07-31,Active,2022-07-15,Secondhand Dealer - General,ECOATM LLC,17908,HILLSIDE AVE,JAMAICA,NY,11432,8587667242,Queens,4.0,412.0,27.0,4212309.0,4099140035.0,,,-73.78411292997198,40.71256806616925,"
,  
(40.712568066169254, -73.78411292997198)"
2054200-DCA,Business,2023-07-31,Active,2017-06-08,Secondhand Dealer - General,"TCC WIRELESS, INC.",3021,VETERANS RD W,STATEN ISLAND,NY,10309,6304802224,Staten Island,5.0,503.0,51.0,5164867.0,5075150307.0,,,-74.23644971345792,40.52804138704568,"
,  
(40.52804138704568, -74.23644971345792)"
2111700-DCA,Individual,2024-10-31,Active,2023-03-17,Tow Truck Driver,"SANABRIA, RICARDO",No Building Info,,CAMPBELL HALL,NY,10916,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2096621-1-DCA,Business,2023-11-30,Inactive,2020-10-09,Electronic Cigarette Dealer,82ND DELI & GROCERY INC,8126,5TH AVE,BROOKLYN,NY,11209,3477772445,Brooklyn,3.0,310.0,43.0,3151730.0,3059980051.0,,,-74.02456108800804,40.6248060156775,"
,  
(40.6248060156775, -74.02456108800804)"
2074358-DCA,Business,2024-06-30,Active,2018-06-25,Electronic & Appliance Service,SHORTY WIRELESS INC,1308,BROADWAY,BROOKLYN,NY,11221,6315305254,Brooklyn,3.0,303.0,41.0,3039609.0,3014780001.0,,,-73.92397590625733,40.69057865714175,"
,  
(40.69057865714175, -73.92397590625733)"
2064908-DCA,Business,2023-12-31,Active,2018-01-12,Laundries,POLY ORGANIC CORP.,217,W 80TH ST,NEW YORK,NY,10024,2123620020,Manhattan,1.0,107.0,6.0,1032656.0,1012280022.0,MN12,167.0,-73.97856143414334,40.784148421583325,"
,  
(40.784148421583325, -73.97856143414334)"
2107640-DCA,Business,2024-12-31,Active,2022-07-21,Electronics Store,TONY PHONE REPAIR INC.,6724,13TH AVE,BROOKLYN,NY,11219,6462860389,Brooklyn,3.0,310.0,43.0,3142868.0,3057670051.0,,,-74.00297196181175,40.62460274155243,"
,  
(40.62460274155243, -74.00297196181175)"
2047200-DCA,Business,2020-12-31,Inactive,2017-01-09,Electronics Store,"JIRR COMMUNICATIONS, INC",690,ALLERTON AVE,BRONX,NY,10467,3473469141,Bronx,2.0,211.0,15.0,2051304.0,2044290035.0,BX07,33202.0,-73.86774779049907,40.865414272365214,"
,  
(40.865414272365214, -73.86774779049907)"
1261449-DCA,Individual,2024-03-31,Active,2007-07-13,Sightseeing Guide,"COVO, AIMEE E",No Building Info,,NEW YORK,NY,10019,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2028476-DCA,Business,2020-05-28,Inactive,2015-09-17,Garage and Parking Lot,QUIK PARK 801 GARAGE LLC,801,AMSTERDAM AVE,NEW YORK,NY,10025,212-222-3289,Manhattan,1.0,107.0,7.0,1088438.0,1018527502.0,MN12,185.0,-73.96878800335192,40.796198304413394,"
,  
(40.796198304413394, -73.96878800335192)"
2107544-DCA,Individual,2024-02-28,Active,2022-07-18,Process Server Individual,"JACKSON, TANYA",No Building Info,,JAMAICA,NY,11434,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2082599-DCA,Business,2022-02-28,Inactive,2019-02-27,Process Serving Agency,THE HALLAHAN GROUP INC,2631,MERRICK RD,BELLMORE,NY,11710,5162085476,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
